,hubmap_id,group_name,dataset_type
434,HBM358.NWPX.662,Stanford TMC,
435,HBM886.HXFS.654,Stanford TMC,
436,HBM536.BHKD.628,Stanford TMC,
437,HBM826.TNCK.998,Stanford TMC,
438,HBM874.FDKQ.476,Stanford TMC,RNAseq
439,HBM463.TBPC.754,Stanford TMC,
440,HBM739.HCWP.359,Stanford TMC,CODEX
441,HBM832.ZSQJ.442,Stanford TMC,CODEX
442,HBM324.MKDC.693,Stanford TMC,RNAseq
443,HBM544.CZWL.784,Stanford TMC,
444,HBM924.VZKC.957,Stanford TMC,RNAseq [Salmon]
445,HBM897.KJRJ.435,Stanford TMC,
446,HBM254.XFHN.834,Stanford TMC,RNAseq
447,HBM943.LMMD.654,Stanford TMC,RNAseq [Salmon]
448,HBM967.JBBL.592,Stanford TMC,RNAseq
449,HBM865.VDXC.862,Stanford TMC,CODEX
450,HBM957.TXXZ.387,Stanford TMC,RNAseq [Salmon]
451,HBM346.PSLV.994,Stanford TMC,
452,HBM536.FHLK.529,Stanford TMC,RNAseq [Salmon]
453,HBM382.VHCQ.532,Stanford TMC,RNAseq
454,HBM947.NLPP.426,Stanford TMC,RNAseq [Salmon]
455,HBM975.XFRZ.636,Stanford TMC,
456,HBM626.RGND.384,Stanford TMC,
457,HBM384.SXQB.763,Stanford TMC,
458,HBM628.LKGZ.865,Stanford TMC,RNAseq [Salmon]
459,HBM443.LGZK.435,Stanford TMC,CODEX
